voteratio,NtoA_ratio,NtoB_ratio,AtoB_ratio,BtoA_ratio,A得票率,B得票率,逆転,投票率
47.12,20.68,79.32,8.81,2.94,50.61,49.39,0,73.56
42.84,23.75,76.25,0.13,4.62,57.04,42.96,0,71.42
46.33,19.17,80.83,3.76,2.98,52.72,47.28,0,73.17
48.14,18.7,81.3,6.57,0.11,50.25,49.75,0,74.07
50.28,24.49,75.51,4.59,0.1,52.65,47.35,0,75.14
40.39,15.92,84.08,2.68,3.51,53.85,46.15,0,70.19
46.48,22.32,77.68,3.07,3.28,54.07,45.93,0,73.24
54.79,19.89,80.11,8.48,1.39,48.7,51.3,1,77.4
46.11,15.65,84.35,0.53,3.98,53.41,46.59,0,73.06
55.19,16.3,83.7,4.43,1.47,49.19,50.81,1,77.6
40.07,18.48,81.52,7.77,3.44,52.11,47.89,0,70.04
49.66,18.19,81.81,9.93,2.52,48.67,51.33,1,74.83
47.12,22.75,77.25,2.91,0.98,53.68,46.32,0,73.56
51.68,18.68,81.32,2.99,2.38,51.61,48.39,0,75.84
59.34,15.13,84.87,7.28,2.47,46.83,53.17,1,79.67
52.2,24.58,75.42,0.37,4.56,55.15,44.85,0,76.1
43.93,18.0,82.0,6.89,4.34,51.68,48.32,0,71.96
50.06,18.76,81.24,1.09,2.94,52.99,47.01,0,75.03
44.12,19.69,80.31,3.54,3.34,53.57,46.43,0,72.06
40.47,23.04,76.96,8.47,2.41,52.76,47.24,0,70.24
56.08,17.02,82.98,6.18,4.18,49.0,51.0,1,78.04
51.33,24.25,75.75,5.66,0.25,51.91,48.09,0,75.67
43.01,22.9,77.1,3.42,4.03,55.01,44.99,0,71.5
52.59,18.86,81.14,9.79,2.74,48.43,51.57,1,76.29
57.03,20.11,79.89,0.99,3.3,52.07,47.93,0,78.51
40.27,22.27,77.73,9.34,0.04,51.65,48.35,0,70.14
58.97,23.27,76.73,1.61,1.23,52.19,47.81,0,79.49
44.54,16.9,83.1,0.95,4.29,54.06,45.94,0,72.27
58.28,21.99,78.01,5.46,1.76,50.24,49.76,0,79.14
56.73,23.23,76.77,7.24,0.75,49.98,50.02,1,78.37
48.8,17.03,82.97,0.85,4.44,53.12,46.88,0,74.4
47.96,23.77,76.23,0.34,2.58,55.38,44.62,0,73.98
52.5,20.1,79.9,1.61,2.7,52.61,47.39,0,76.25
58.77,18.93,81.07,7.39,2.24,48.26,51.74,1,79.39
50.16,19.89,80.11,8.68,3.72,49.96,50.04,1,75.08
50.21,15.4,84.6,7.39,2.61,48.83,51.17,1,75.1
48.04,23.47,76.53,8.55,0.09,50.88,49.12,0,74.02
41.31,17.06,82.94,7.49,0.58,50.94,49.06,0,70.65
49.03,15.05,84.95,6.08,3.22,49.71,50.29,1,74.51
42.66,20.58,79.42,3.49,1.2,53.77,46.23,0,71.33
46.48,16.56,83.44,0.43,3.71,53.6,46.4,0,73.24
57.5,22.32,77.68,9.6,4.04,49.09,50.91,1,78.75
57.77,22.34,77.66,1.15,1.09,52.25,47.75,0,78.89
58.63,18.52,81.48,2.59,4.89,50.76,49.24,0,79.31
55.74,16.87,83.13,8.44,1.2,47.42,52.58,1,77.87
55.62,19.9,80.1,6.55,3.45,49.81,50.19,1,77.81
49.97,15.41,84.59,4.13,2.14,50.31,49.69,0,74.99
49.47,16.39,83.61,1.73,1.37,51.72,48.28,0,74.74
49.4,21.83,78.17,6.33,3.5,51.81,48.19,0,74.7
48.16,21.29,78.71,2.59,2.33,53.41,46.59,0,74.08
49.49,22.58,77.42,5.01,2.34,52.43,47.57,0,74.74
44.68,19.03,80.97,4.25,3.65,52.96,47.04,0,72.34
51.02,22.96,77.04,7.34,1.54,51.01,48.99,0,75.51
43.62,15.18,84.82,9.65,1.41,48.94,51.06,1,71.81
48.57,20.66,79.34,7.31,3.09,51.05,48.95,0,74.28
49.27,23.76,76.24,1.42,3.43,54.76,45.24,0,74.64
49.44,15.82,84.18,7.74,3.5,49.15,50.85,1,74.72
40.23,16.76,83.24,4.2,4.45,53.58,46.42,0,70.11
53.27,20.4,79.6,9.86,2.57,48.76,51.24,1,76.63
51.45,21.3,78.7,9.87,4.89,49.86,50.14,1,75.72
40.01,21.59,78.41,9.09,0.49,51.73,48.27,0,70.0
54.01,18.44,81.56,7.64,1.8,48.8,51.2,1,77.01
40.52,16.47,83.53,2.08,0.57,53.65,46.35,0,70.26
58.5,20.84,79.16,7.03,3.06,49.33,50.67,1,79.25
56.35,16.13,83.87,0.43,0.25,50.44,49.56,0,78.17
40.62,24.76,75.24,4.11,3.35,55.6,44.4,0,70.31
40.7,17.34,82.66,2.35,3.63,54.37,45.63,0,70.35
58.23,16.98,83.02,0.09,4.54,51.31,48.69,0,79.11
44.32,18.88,81.12,0.31,0.63,54.28,45.72,0,72.16
50.19,20.18,79.82,6.72,2.57,50.73,49.27,0,75.1
42.88,24.06,75.94,3.54,0.88,54.67,45.33,0,71.44
42.33,22.77,77.23,6.63,0.13,52.72,47.28,0,71.16
49.29,20.99,79.01,9.44,3.19,50.03,49.97,0,74.64
53.83,18.3,81.7,8.27,2.93,48.72,51.28,1,76.91
46.06,24.19,75.81,0.15,4.99,56.5,43.5,0,73.03
42.83,22.94,77.06,1.88,1.9,55.37,44.63,0,71.41
44.82,20.71,79.29,7.94,0.3,50.97,49.03,0,72.41
41.3,15.9,84.1,9.94,4.56,50.23,49.77,0,70.65
40.08,17.75,82.25,0.8,4.61,55.64,44.36,0,70.04
59.95,17.28,82.72,4.39,0.73,48.45,51.55,1,79.97
41.57,19.62,80.38,3.07,0.32,53.76,46.24,0,70.78
58.52,20.5,79.5,9.0,2.74,48.27,51.73,1,79.26
57.78,15.27,84.73,9.69,3.95,46.41,53.59,1,78.89
59.27,17.45,82.55,5.26,4.88,49.05,50.95,1,79.64
45.96,16.37,83.63,1.27,4.16,53.36,46.64,0,72.98
46.55,23.0,77.0,9.05,2.57,51.27,48.73,0,73.27
44.04,17.25,82.75,3.41,3.78,53.0,47.0,0,72.02
43.44,19.73,80.27,6.63,4.23,52.43,47.57,0,71.72
46.65,20.36,79.64,3.99,1.0,52.51,47.49,0,73.33
42.5,15.64,84.36,1.75,0.93,53.12,46.88,0,71.25
46.64,18.9,81.1,5.44,2.62,51.68,48.32,0,73.32
57.64,22.4,77.6,6.76,0.7,49.73,50.27,1,78.82
40.48,15.56,84.44,8.86,4.95,50.95,49.05,0,70.24
48.67,20.25,79.75,0.28,2.95,54.18,45.82,0,74.33
47.29,19.55,80.45,1.98,3.95,53.67,46.33,0,73.64
46.76,24.29,75.71,2.13,3.74,55.19,44.81,0,73.38
44.93,20.36,79.64,6.6,2.36,51.91,48.09,0,72.46
57.89,16.13,83.87,3.82,2.77,49.08,50.92,1,78.94
51.75,16.35,83.65,6.95,1.68,48.83,51.17,1,75.88
40.61,21.55,78.45,7.07,4.36,53.42,46.58,0,70.3
40.63,18.87,81.13,8.06,3.48,51.96,48.04,0,70.31
47.43,23.49,76.51,6.78,2.16,52.26,47.74,0,73.72
40.48,16.05,83.95,2.89,2.81,53.61,46.39,0,70.24
58.99,24.52,75.48,7.81,2.11,50.09,49.91,0,79.5
45.86,15.16,84.84,1.17,3.6,52.94,47.06,0,72.93
42.06,17.4,82.6,5.3,0.12,51.84,48.16,0,71.03
54.8,15.28,84.72,0.28,2.2,50.93,49.07,0,77.4
59.69,15.65,84.35,4.08,2.36,48.34,51.66,1,79.84
49.88,23.81,76.19,1.71,2.83,54.39,45.61,0,74.94
51.25,15.47,84.53,7.35,0.87,48.29,51.71,1,75.62
59.62,22.16,77.84,4.82,4.74,50.91,49.09,0,79.81
45.13,19.61,80.39,3.33,3.88,53.53,46.47,0,72.56
42.58,20.2,79.8,4.37,2.7,53.55,46.45,0,71.29
57.28,19.59,80.41,6.81,0.25,48.66,51.34,1,78.64
59.07,22.25,77.75,6.98,3.62,49.88,50.12,1,79.53
57.42,21.81,78.19,4.59,3.3,51.01,48.99,0,78.71
59.01,23.02,76.98,7.58,3.33,49.86,50.14,1,79.5
42.13,24.33,75.67,2.15,1.22,55.66,44.34,0,71.06
47.44,19.95,80.05,0.24,0.12,53.81,46.19,0,73.72
50.05,20.18,79.82,9.32,0.7,49.17,50.83,1,75.03
58.82,21.53,78.47,6.21,1.81,49.65,50.35,1,79.41
47.11,17.01,82.99,7.56,1.56,49.75,50.25,1,73.55
57.76,22.9,77.1,6.61,3.6,50.51,49.49,0,78.88
48.4,22.49,77.51,0.53,4.0,55.06,44.94,0,74.2
49.76,23.58,76.42,7.44,4.75,52.05,47.95,0,74.88
56.44,23.68,76.32,3.64,2.14,52.07,47.93,0,78.22
48.01,23.9,76.1,3.12,0.3,53.63,46.37,0,74.0
42.64,17.62,82.38,5.83,1.51,51.8,48.2,0,71.32
40.41,20.46,79.54,2.02,0.99,54.95,45.05,0,70.2
58.09,15.97,84.03,3.8,2.3,48.9,51.1,1,79.05
49.6,15.01,84.99,3.37,1.94,50.58,49.42,0,74.8
46.23,16.39,83.61,0.15,3.75,53.75,46.25,0,73.11
41.48,18.45,81.55,1.28,0.45,54.35,45.65,0,70.74
49.88,16.68,83.32,5.89,4.48,50.4,49.6,0,74.94
59.49,17.21,82.79,4.32,2.14,48.81,51.19,1,79.74
55.56,24.25,75.75,1.86,3.15,53.43,46.57,0,77.78
52.47,15.05,84.95,3.58,2.64,49.97,50.03,1,76.24
52.48,23.44,76.56,4.52,2.65,52.42,47.58,0,76.24
40.13,16.74,83.26,2.0,2.57,54.3,45.7,0,70.07
46.95,16.53,83.47,0.61,0.0,52.63,47.37,0,73.47
42.55,16.39,83.61,9.41,3.43,50.1,49.9,0,71.28
52.68,15.05,84.95,0.49,0.87,50.99,49.01,0,76.34
45.21,18.45,81.55,6.48,3.81,51.61,48.39,0,72.6
43.54,18.21,81.79,6.28,2.75,51.81,48.19,0,71.77
55.34,16.61,83.39,5.08,3.12,49.3,50.7,1,77.67
44.53,18.43,81.57,4.52,2.96,52.54,47.46,0,72.26
54.66,17.55,82.45,1.44,2.9,51.37,48.63,0,77.33
56.06,19.54,80.46,5.35,2.49,49.95,50.05,1,78.03
46.24,17.12,82.88,6.09,2.86,50.95,49.05,0,73.12
54.96,17.14,82.86,6.04,4.08,49.31,50.69,1,77.48
50.72,20.17,79.83,2.99,2.32,52.3,47.7,0,75.36
47.01,16.9,83.1,9.64,3.56,49.15,50.85,1,73.5
55.96,18.23,81.77,1.29,3.68,51.55,48.45,0,77.98
44.77,19.28,80.72,2.3,0.29,53.26,46.74,0,72.39
58.55,15.54,84.46,6.84,1.08,47.07,52.93,1,79.28
54.98,15.65,84.35,5.9,1.99,48.44,51.56,1,77.49
47.56,23.06,76.94,7.25,4.53,52.36,47.64,0,73.78
52.31,23.78,76.22,8.19,0.77,50.52,49.48,0,76.15
42.18,22.46,77.54,9.11,4.38,52.34,47.66,0,71.09
58.87,24.75,75.25,5.89,0.31,50.69,49.31,0,79.44
46.94,23.16,76.84,3.64,4.61,54.25,45.75,0,73.47
50.49,17.33,82.67,2.74,1.91,51.43,48.57,0,75.25
50.0,17.53,82.47,3.13,3.66,51.78,48.22,0,75.0
57.94,20.07,79.93,4.21,0.68,49.95,50.05,1,78.97
56.96,24.86,75.14,3.73,1.26,52.2,47.8,0,78.48
44.68,21.58,78.42,8.11,0.55,51.23,48.77,0,72.34
45.73,20.77,79.23,0.36,3.19,55.03,44.97,0,72.86
41.7,20.05,79.95,8.07,0.44,51.41,48.59,0,70.85
51.92,18.22,81.78,6.55,2.51,49.78,50.22,1,75.96
54.12,17.35,82.65,2.63,3.05,50.91,49.09,0,77.06
43.83,24.05,75.95,5.05,1.07,53.76,46.24,0,71.92
40.01,17.93,82.07,7.58,2.2,51.8,48.2,0,70.01
57.12,24.23,75.77,8.51,2.63,50.07,49.93,0,78.56
41.24,23.13,76.87,0.01,2.33,56.81,43.19,0,70.62
55.81,16.35,83.65,5.24,4.08,49.21,50.79,1,77.9
58.15,19.37,80.63,9.55,3.07,47.74,52.26,1,79.08
57.1,20.69,79.31,8.2,2.14,48.83,51.17,1,78.55
59.52,24.86,75.14,6.14,2.23,50.88,49.12,0,79.76
50.84,22.19,77.81,6.11,0.09,51.07,48.93,0,75.42
55.5,20.0,80.0,5.35,3.11,50.35,49.65,0,77.75
58.88,21.64,78.36,3.64,1.91,50.83,49.17,0,79.44
51.33,16.14,83.86,2.39,4.97,51.61,48.39,0,75.67
51.79,21.76,78.24,1.91,4.02,53.46,46.54,0,75.89
54.96,21.73,78.27,1.66,4.24,52.95,47.05,0,77.48
44.04,17.25,82.75,5.77,0.12,51.09,48.91,0,72.02
45.48,23.92,76.08,4.2,3.46,54.29,45.71,0,72.74
49.56,22.19,77.81,3.62,3.56,53.18,46.82,0,74.78
44.91,16.78,83.22,8.44,3.12,50.07,49.93,0,72.46
49.38,18.58,81.42,7.61,3.39,50.12,49.88,0,74.69
46.39,16.65,83.35,1.28,4.23,53.35,46.65,0,73.2
43.7,22.4,77.6,6.45,1.23,52.64,47.36,0,71.85
43.63,17.71,82.29,3.95,1.03,52.41,47.59,0,71.82
41.93,16.85,83.15,5.17,2.99,52.38,47.62,0,70.96
41.24,16.23,83.77,1.72,1.09,53.68,46.32,0,70.62
51.59,16.82,83.18,9.04,2.36,48.19,51.81,1,75.79
55.65,23.05,76.95,4.98,0.26,51.02,48.98,0,77.82
55.0,22.9,77.1,4.31,0.31,51.4,48.6,0,77.5
50.45,21.19,78.81,9.26,2.15,49.75,50.25,1,75.22
57.3,17.05,82.95,8.33,2.72,47.52,52.48,1,78.65
47.07,21.84,78.16,3.76,3.94,53.6,46.4,0,73.53
40.88,18.36,81.64,3.57,2.51,53.77,46.23,0,70.44
50.47,20.2,79.8,7.34,0.35,49.95,50.05,1,75.24
57.51,21.34,78.66,1.98,3.81,52.08,47.92,0,78.76
54.44,22.17,77.83,1.73,2.26,52.79,47.21,0,77.22
40.53,15.18,84.82,3.34,2.78,53.12,46.88,0,70.26
46.76,16.48,83.52,9.22,3.49,49.26,50.74,1,73.38
42.39,23.47,76.53,4.94,4.21,54.6,45.4,0,71.19
45.39,18.35,81.65,7.37,0.15,50.36,49.64,0,72.69
40.69,19.37,80.63,9.85,3.87,51.28,48.72,0,70.34
57.98,16.59,83.41,3.44,0.37,48.95,51.05,1,78.99
50.23,20.39,79.61,6.32,0.81,50.63,49.37,0,75.11
44.01,21.89,78.11,9.2,0.16,50.86,49.14,0,72.01
40.94,23.21,76.79,0.51,0.38,56.24,43.76,0,70.47
53.14,18.98,81.02,3.96,0.21,50.52,49.48,0,76.57
43.72,24.23,75.77,0.81,4.52,56.63,43.37,0,71.86
51.47,18.66,81.34,0.67,4.47,53.13,46.87,0,75.74
45.96,20.36,79.64,0.51,4.68,55.08,44.92,0,72.98
41.83,22.02,77.98,5.75,2.62,53.57,46.43,0,70.91
59.88,23.95,76.05,7.34,1.24,49.77,50.23,1,79.94
51.83,16.86,83.14,2.35,3.68,51.5,48.5,0,75.92
50.15,23.79,76.21,2.88,2.81,53.78,46.22,0,75.08
41.25,19.6,80.4,0.16,1.91,55.61,44.39,0,70.63
40.64,15.23,84.77,3.49,4.15,53.32,46.68,0,70.32
48.28,15.02,84.98,7.07,0.92,48.95,51.05,1,74.14
51.37,22.14,77.86,0.97,1.0,53.51,46.49,0,75.69
55.94,21.56,78.44,4.48,3.0,51.19,48.81,0,77.97
56.28,18.0,82.0,6.37,2.13,48.83,51.17,1,78.14
53.03,23.14,76.86,8.22,2.56,50.5,49.5,0,76.51
44.61,17.42,82.58,5.68,0.38,51.11,48.89,0,72.3
57.88,23.18,76.82,6.42,1.82,50.33,49.67,0,78.94
52.1,21.12,78.88,1.72,1.33,52.73,47.27,0,76.05
49.0,24.87,75.13,4.17,1.55,53.51,46.49,0,74.5
59.76,16.47,83.53,1.8,4.76,50.08,49.92,0,79.88
49.23,16.92,83.08,1.15,3.57,52.67,47.33,0,74.62
42.55,16.8,83.2,0.58,2.86,54.44,45.56,0,71.28
52.41,23.65,76.35,8.4,3.93,50.98,49.02,0,76.21
55.72,21.77,78.23,3.75,4.56,51.94,48.06,0,77.86
59.55,22.54,77.46,9.71,4.01,48.78,51.22,1,79.77
52.21,17.88,82.12,5.52,1.18,49.82,50.18,1,76.1
52.18,15.16,84.84,1.14,1.25,50.92,49.08,0,76.09
47.12,22.81,77.19,6.99,3.68,52.31,47.69,0,73.56
59.75,23.98,76.02,3.2,3.81,52.1,47.9,0,79.87
50.07,19.48,80.52,3.93,1.11,51.53,48.47,0,75.03
41.91,18.94,81.06,3.0,1.78,53.82,46.18,0,70.96
41.85,15.36,84.64,4.54,2.15,52.09,47.91,0,70.92
55.49,23.45,76.55,4.95,2.75,51.69,48.31,0,77.74
57.06,23.16,76.84,0.12,1.19,53.16,46.84,0,78.53
54.1,24.03,75.97,6.0,1.05,51.34,48.66,0,77.05
54.28,15.7,84.3,7.57,1.89,47.83,52.17,1,77.14
43.28,18.5,81.5,9.66,4.42,50.65,49.35,0,71.64
55.54,23.93,76.07,9.6,1.03,49.43,50.57,1,77.77
42.93,23.86,76.14,7.37,2.26,53.01,46.99,0,71.47
46.11,23.33,76.67,0.31,1.07,55.34,44.66,0,73.06
49.07,20.09,79.91,2.21,0.36,52.61,47.39,0,74.54
51.1,21.12,78.88,7.36,1.65,50.39,49.61,0,75.55
40.52,15.01,84.99,0.11,3.13,54.76,45.24,0,70.26
49.17,23.81,76.19,9.29,0.43,50.5,49.5,0,74.58
55.19,24.35,75.65,3.93,0.73,52.13,47.87,0,77.59
53.64,17.05,82.95,4.31,0.8,49.71,50.29,1,76.82
55.28,23.23,76.77,1.48,4.29,53.51,46.49,0,77.64
44.21,17.44,82.56,4.76,4.05,52.42,47.58,0,72.1
52.67,18.42,81.58,5.75,4.69,50.49,49.51,0,76.34
52.34,22.0,78.0,9.32,1.08,49.44,50.56,1,76.17
43.23,21.8,78.2,5.79,2.69,53.19,46.81,0,71.62
51.58,19.19,80.81,7.84,3.89,49.86,50.14,1,75.79
47.44,21.03,78.97,6.9,1.94,51.36,48.64,0,73.72
47.69,23.44,76.56,3.72,3.11,53.84,46.16,0,73.84
53.14,23.65,76.35,9.59,1.6,49.85,50.15,1,76.57
48.03,16.84,83.16,5.97,1.48,50.23,49.77,0,74.02
49.71,18.32,81.68,4.73,2.27,51.08,48.92,0,74.85
52.48,20.84,79.16,1.77,1.25,52.51,47.49,0,76.24
43.39,18.67,81.33,1.24,1.92,54.26,45.74,0,71.7
43.52,16.29,83.71,8.49,4.94,50.61,49.39,0,71.76
49.44,16.09,83.91,3.79,1.35,50.66,49.34,0,74.72
44.92,19.06,80.94,8.65,3.23,50.7,49.3,0,72.46
57.49,17.43,82.57,3.22,1.09,49.59,50.41,1,78.75
56.28,18.39,81.61,5.91,3.33,49.4,50.6,1,78.14
49.15,19.2,80.8,8.72,0.49,49.27,50.73,1,74.58
57.94,23.31,76.69,9.54,2.75,49.17,50.83,1,78.97
59.58,23.88,76.12,4.54,1.35,51.04,48.96,0,79.79
54.84,24.77,75.23,4.29,4.79,52.97,47.03,0,77.42
46.49,17.02,82.98,3.82,3.71,52.12,47.88,0,73.25
41.39,20.77,79.23,5.12,4.29,53.96,46.04,0,70.69
48.35,18.97,81.03,2.7,1.56,52.41,47.59,0,74.18
51.31,19.6,80.4,7.84,1.89,49.66,50.34,1,75.66
57.11,18.07,81.93,0.74,2.88,51.34,48.66,0,78.56
48.09,23.81,76.19,7.44,3.91,52.28,47.72,0,74.04
45.32,24.01,75.99,8.12,3.2,52.41,47.59,0,72.66
51.06,18.66,81.34,6.0,0.69,50.0,50.0,0,75.53
54.41,22.87,77.13,8.87,1.0,49.57,50.43,1,77.21
48.0,15.97,84.03,8.26,3.45,49.27,50.73,1,74.0
48.2,18.4,81.6,2.18,3.15,52.83,47.17,0,74.1
47.19,21.75,78.25,5.07,1.63,52.45,47.55,0,73.6
46.38,18.42,81.58,4.73,3.57,52.13,47.87,0,73.19
50.79,20.32,79.68,6.27,0.87,50.53,49.47,0,75.4
40.85,22.61,77.39,3.46,3.77,55.34,44.66,0,70.43
52.66,23.5,76.5,9.98,1.67,49.71,50.29,1,76.33
59.72,19.48,80.52,2.29,3.07,50.69,49.31,0,79.86
52.08,22.29,77.71,2.04,1.42,53.0,47.0,0,76.04
58.69,22.0,78.0,7.1,3.77,49.83,50.17,1,79.35
50.71,20.81,79.19,4.08,2.95,52.14,47.86,0,75.36
44.73,20.71,79.29,4.91,3.95,53.21,46.79,0,72.37
57.04,19.98,80.02,9.52,4.87,48.52,51.48,1,78.52
51.31,24.24,75.76,7.46,4.53,51.93,48.07,0,75.65
42.7,16.05,83.95,7.84,3.8,50.81,49.19,0,71.35
41.68,21.22,78.78,8.12,3.29,52.34,47.66,0,70.84
53.17,24.18,75.82,1.84,2.68,53.77,46.23,0,76.59
44.98,19.93,80.07,1.89,2.06,53.98,46.02,0,72.49
41.54,24.9,75.1,4.86,3.86,55.18,44.82,0,70.77
47.74,19.43,80.57,0.94,3.63,53.95,46.05,0,73.87
43.41,15.55,84.45,8.99,4.43,50.05,49.95,0,71.71
41.81,19.76,80.24,2.4,2.13,54.45,45.55,0,70.91
49.03,19.35,80.65,6.19,0.64,50.56,49.44,0,74.51
53.24,16.27,83.73,9.77,3.89,47.63,52.37,1,76.62
41.84,18.29,81.71,1.95,1.88,54.18,45.82,0,70.92
40.92,18.05,81.95,9.59,2.11,50.6,49.4,0,70.46
59.6,23.68,76.32,6.7,4.74,50.65,49.35,0,79.8
53.26,24.32,75.68,2.69,1.72,53.24,46.76,0,76.63
54.57,20.86,79.14,9.19,4.25,49.31,50.69,1,77.28
46.13,23.96,76.04,7.02,3.02,52.72,47.28,0,73.07
52.57,17.34,82.66,5.98,4.52,50.0,50.0,0,76.29
50.73,19.7,80.3,6.21,3.67,50.92,49.08,0,75.36
51.55,20.72,79.28,5.38,0.15,50.78,49.22,0,75.78
58.8,22.23,77.77,8.97,0.39,48.43,51.57,1,79.4
52.93,22.93,77.07,8.71,1.02,49.92,50.08,1,76.46
46.55,19.92,80.08,1.12,2.77,54.13,45.87,0,73.27
44.14,20.55,79.45,1.27,3.75,55.02,44.98,0,72.07
56.57,18.62,81.38,0.09,2.53,51.88,48.12,0,78.29
51.06,19.38,80.62,7.3,3.82,50.26,49.74,0,75.53
43.72,17.86,82.14,1.12,1.51,53.91,46.09,0,71.86
45.84,17.71,82.29,8.26,3.07,50.23,49.77,0,72.92
45.22,17.48,82.52,6.68,4.9,51.44,48.56,0,72.61
51.71,20.32,79.68,7.39,0.26,49.71,50.29,1,75.86
52.57,22.89,77.11,8.65,4.35,50.66,49.34,0,76.29
42.23,21.98,78.02,6.57,1.23,52.77,47.23,0,71.11
45.97,18.82,81.18,0.16,4.72,54.78,45.22,0,72.99
48.99,24.98,75.02,0.53,4.74,55.9,44.1,0,74.5
48.23,24.61,75.39,6.6,1.45,52.41,47.59,0,74.12
57.19,17.44,82.56,8.58,4.77,47.96,52.04,1,78.6
57.22,20.37,79.63,2.72,4.45,51.58,48.42,0,78.61
52.44,21.39,78.61,6.27,4.88,51.36,48.64,0,76.22
58.06,20.45,79.55,9.56,0.02,47.57,52.43,1,79.03
42.94,18.68,81.32,1.0,2.4,54.6,45.4,0,71.47
49.43,16.18,83.82,3.75,4.87,51.42,48.58,0,74.72
42.91,23.85,76.15,7.26,1.43,52.88,47.12,0,71.46
45.54,19.52,80.48,1.31,1.13,53.81,46.19,0,72.77
40.83,15.98,84.02,1.61,1.36,53.83,46.17,0,70.42
56.81,16.44,83.56,6.14,0.72,47.99,52.01,1,78.4
56.66,24.34,75.66,2.26,2.74,53.0,47.0,0,78.33
44.53,17.0,83.0,9.64,2.3,49.48,50.52,1,72.26
42.77,24.12,75.88,4.49,4.08,54.91,45.09,0,71.39
59.29,18.53,81.47,7.47,2.56,48.04,51.96,1,79.65
46.39,15.15,84.85,0.32,3.39,53.16,46.84,0,73.19
48.52,20.94,79.06,8.06,1.21,50.42,49.58,0,74.26
54.63,22.0,78.0,9.27,1.22,49.08,50.92,1,77.31
47.72,18.39,81.61,0.74,3.81,53.75,46.25,0,73.86
50.43,17.92,82.08,8.39,3.12,49.26,50.74,1,75.22
54.05,23.11,76.89,9.47,2.68,49.77,50.23,1,77.03
45.15,19.4,80.6,6.43,0.5,51.26,48.74,0,72.58
55.16,18.15,81.85,0.87,3.56,51.86,48.14,0,77.58
52.64,17.04,82.96,3.38,0.02,50.19,49.81,0,76.32
53.36,15.86,84.14,7.17,0.04,47.9,52.1,1,76.68
52.12,21.07,78.93,8.51,2.06,49.73,50.27,1,76.06
42.27,24.71,75.29,4.78,2.26,54.67,45.33,0,71.13
50.57,16.9,83.1,0.22,3.15,52.69,47.31,0,75.29
50.84,20.45,79.55,2.34,0.06,52.23,47.77,0,75.42
46.19,22.56,77.44,9.01,3.57,51.43,48.57,0,73.1
48.75,23.23,76.77,9.64,3.33,50.81,49.19,0,74.37
43.65,19.71,80.29,8.64,0.28,50.56,49.44,0,71.82
45.6,15.45,84.55,3.72,0.47,51.22,48.78,0,72.8
44.81,20.58,79.42,7.18,4.74,52.22,47.78,0,72.4
59.39,23.26,76.74,1.3,4.94,52.94,47.06,0,79.69
41.36,20.6,79.4,0.13,0.55,55.6,44.4,0,70.68
44.86,22.33,77.67,2.8,3.89,54.69,45.31,0,72.43
51.62,15.36,84.64,4.0,4.39,50.42,49.58,0,75.81
44.1,21.58,78.42,7.82,0.61,51.51,48.49,0,72.05
51.6,24.17,75.83,6.55,2.04,51.78,48.22,0,75.8
46.09,17.78,82.22,6.31,0.49,50.6,49.4,0,73.04
54.06,18.36,81.64,6.6,4.87,49.83,50.17,1,77.03
49.39,21.5,78.5,8.5,4.92,50.97,49.03,0,74.7
48.73,21.23,78.77,7.86,3.15,50.95,49.05,0,74.37
52.41,19.32,80.68,0.82,2.23,52.64,47.36,0,76.2
57.74,19.13,80.87,6.05,1.52,48.98,51.02,1,78.87
42.77,24.74,75.26,4.13,1.38,54.71,45.29,0,71.38
40.27,20.37,79.63,0.2,3.92,56.49,43.51,0,70.14
41.23,18.82,81.18,4.06,2.0,53.47,46.53,0,70.61
43.13,23.57,76.43,1.35,3.93,56.17,43.83,0,71.57
43.43,23.97,76.03,5.13,0.56,53.67,46.33,0,71.72
56.81,16.84,83.16,5.75,2.86,48.72,51.28,1,78.4
52.65,18.29,81.71,3.3,1.26,50.9,49.1,0,76.33
47.42,17.49,82.51,1.69,2.19,52.75,47.25,0,73.71
46.9,16.55,83.45,6.9,4.83,50.63,49.37,0,73.45
56.83,18.89,81.11,2.78,4.29,51.06,48.94,0,78.42
40.76,20.28,79.72,2.12,0.89,54.74,45.26,0,70.38
56.55,22.75,77.25,3.68,3.79,52.01,47.99,0,78.27
40.04,20.95,79.05,6.59,0.52,52.8,47.2,0,70.02
49.35,18.07,81.93,9.52,4.7,49.33,50.67,1,74.68
41.62,19.94,80.06,9.81,0.72,50.59,49.41,0,70.81
42.78,19.68,80.32,2.08,2.14,54.35,45.65,0,71.39
51.81,21.18,78.82,4.39,0.69,51.45,48.55,0,75.91
59.78,15.87,84.13,3.36,1.66,48.59,51.41,1,79.89
41.02,18.55,81.45,0.52,0.26,54.83,45.17,0,70.51
54.95,23.13,76.87,1.91,4.22,53.33,46.67,0,77.48
52.95,23.54,76.46,6.64,2.11,51.29,48.71,0,76.47
56.32,19.63,80.37,5.12,4.9,50.5,49.5,0,78.16
46.65,22.01,77.99,8.35,1.26,51.01,48.99,0,73.32
59.22,17.91,82.09,9.93,4.76,47.15,52.85,1,79.61
45.33,16.19,83.81,5.97,1.69,50.69,49.31,0,72.66
50.29,20.5,79.5,3.06,2.13,52.43,47.57,0,75.15
47.0,23.84,76.16,7.89,3.75,52.25,47.75,0,73.5
